id,name,description,is_active,deadline,status,skill_assessment_before,skill_assessment_after,date_added,employee_id,supervisor_id
1,Внедрение новых технологий,Внедрение инновационных технологий для повышения эффективности.,True,2024-02-28,not_done,2,4,2023-11-18,3,1
2,Развитие программного обеспечения,Улучшение и расширение функционала существующего программного обеспечения.,False,2024-02-28,completed,2,5,2023-01-02,4,1
3,Обучение персонала новым навыкам,Проведение обучающих курсов для сотрудников по актуальным IT-навыкам.,False,2024-02-28,in_progress,3,5,2023-10-31,5,2
4,Оптимизация инфраструктуры,Повышение производительности и надежности инфраструктуры IT-систем.,True,2024-02-07,not_done,1,5,2023-12-29,6,1
5,Развитие систем безопасности,Внедрение современных систем защиты информации и кибербезопасности.,True,2024-11-03,canceled,2,5,2023-12-07,7,2
6,Создание и улучшение веб-продуктов,Разработка и улучшение веб-приложений и интерфейсов для клиентов.,True,2024-02-03,in_progress,3,4,2023-01-19,8,2
7,Миграция в облако,Переход к облачным технологиям для оптимизации и снижения затрат.,False,2024-11-30,completed,1,5,2023-04-09,9,2
8,Разработка мобильных приложений,Создание инновационных мобильных приложений для улучшения доступа.,False,2024-07-30,not_done,1,5,2023-04-12,10,1
9,Анализ данных и бизнес-интеллект,Внедрение систем анализа данных для принятия более обоснованных решений.,True,2024-10-06,completed,1,5,2023-05-09,11,2
10,Развитие сетевой инфраструктуры,Улучшение сетевой инфраструктуры для обеспечения стабильной связи.,True,2024-06-23,canceled,3,4,2022-12-12,12,1
11,Цифровизация бизнес-процессов,Автоматизация и оптимизация бизнес-процессов с использованием IT-решений.,True,2024-02-09,canceled,2,4,2023-01-21,13,1
12,Разработка и внедрение CRM-систем,Внедрение систем управления взаимоотношениями с клиентами для улучшения обслуживания.,False,2024-09-14,canceled,3,5,2023-03-22,14,2
13,Разработка и обновление ERP-систем,Разработка и обновление систем планирования ресурсов предприятия.,False,2024-05-04,in_progress,3,5,2023-03-11,15,1
14,Развитие искусственного интеллекта,Исследование и внедрение искусственного интеллекта для оптимизации процессов.,True,2024-07-22,completed,3,4,2023-01-27,16,2
15,Развитие блокчейн-технологий,Исследование и внедрение блокчейн-технологий для повышения прозрачности.,True,2024-04-12,not_done,3,5,2023-06-27,17,1
16,Улучшение качества тестирования,Внедрение эффективных методов тестирования для обеспечения высокого качества продукции.,True,2024-05-03,in_progress,2,4,2023-12-03,18,1
17,Разработка и внедрение DevOps-практик,Внедрение методологий DevOps для улучшения совместной работы разработчиков и операций.,False,2025-01-08,not_done,2,4,2023-05-12,19,1
18,Развитие технологии больших данных,Разработка и внедрение решений для обработки и анализа больших объемов данных.,False,2025-01-07,not_done,2,5,2023-07-29,20,2
19,Разработка собственных IT-продуктов,Создание новых продуктов и сервисов ориентированных на рынок IT-технологий.,True,2024-03-28,not_done,1,4,2023-11-02,21,1
20,Развитие технологии интернета вещей,Исследование и внедрение IoT-технологий для создания умных систем.,True,2024-10-02,not_done,2,4,2023-02-01,22,2
21,Создание образовательных платформ,Разработка платформ для обучения и обмена знаний в IT-сфере.,True,2024-12-17,canceled,2,5,2023-12-13,23,1
22,Развитие технологии виртуализации,Использование виртуализации для оптимизации вычислительных ресурсов.,False,2024-07-19,completed,3,4,2023-07-22,24,1
23,Развитие технологии киберфизических систем,Интеграция физических и цифровых систем для управления производственными процессами.,False,2024-05-05,completed,3,4,2023-07-07,25,1
24,Развитие технологии машинного обучения,Исследование и внедрение методов машинного обучения для улучшения предсказательной аналитики.,True,2024-05-01,canceled,2,4,2023-08-31,26,2
25,Создание центра обработки данных,Создание высокопроизводительного центра обработки данных для обеспечения хранения и доступа.,True,2024-03-23,in_progress,1,4,2023-04-07,27,2
26,Развитие технологии кибербезопасности,Разработка и внедрение технологий для защиты от кибератак и угроз.,True,2024-07-11,not_done,2,4,2023-12-25,28,2
27,Разработка и внедрение автоматизированных систем управления,Создание систем управления для автоматизации бизнес-процессов.,False,2024-07-31,canceled,1,5,2023-09-06,29,2
28,Развитие технологии робототехники,Исследование и разработка робототехнических решений для автоматизации задач.,False,2024-05-29,in_progress,3,5,2023-07-16,30,2
29,Развитие технологии виртуальной реальности,Внедрение технологий виртуальной реальности для создания уникальных пользовательских интерфейсов.,True,2024-08-22,canceled,3,5,2023-01-12,31,1
30,Развитие технологии дополненной реальности,Исследование и применение технологий дополненной реальности в различных областях.,True,2024-06-06,not_done,3,5,2023-11-10,32,2
31,Внедрение новых технологий,Внедрение инновационных технологий для повышения эффективности.,True,2024-11-20,in_progress,3,4,2023-11-19,33,1
32,Внедрение ИИ в бизнес,Разработка и внедрение систем искусственного интеллекта для оптимизации бизнес-процессов.,False,2024-05-17,not_done,1,4,2023-12-03,34,2
33,Развитие кибербезопасности,Усиление мер безопасности для защиты от киберугроз и совершенствование инфраструктуры информационной безопасности.,False,2024-02-18,in_progress,2,4,2023-01-03,35,1
34,Обучение персонала в области IT,Проведение обучающих программ и тренингов для повышения квалификации сотрудников в сфере информационных технологий.,True,2024-03-24,completed,2,5,2023-05-29,36,2
35,Интеграция блокчейн технологий,Внедрение технологии блокчейн для улучшения прозрачности и безопасности транзакций и записей.,True,2024-02-28,completed,1,5,2022-12-15,37,2
36,Разработка мобильных приложений,Создание и оптимизация мобильных приложений для улучшения взаимодействия с клиентами и расширения аудитории.,True,2024-02-22,canceled,2,4,2023-12-13,38,2
37,Оптимизация облачных сервисов,Модернизация и оптимизация облачных вычислений для повышения производительности и эффективности хранения данных.,False,2024-09-21,completed,2,4,2023-02-09,39,2
38,Исследование квантовых технологий,Проведение исследований в области квантовых вычислений для разработки новых методов обработки информации.,False,2024-11-20,completed,2,4,2023-03-10,40,2
